Pet name,Animal Type,Pet Age,Breed
Daisy,OTHER,1 YEAR,RAT / REX
Ruby,OTHER,1 YEAR,RAT
Norman,OTHER,3 YEARS,GUINEA PIG
Dexter,OTHER,3 YEARS,GUINEA PIG
Rodney,OTHER,3 YEARS,GUINEA PIG
Bobinsky,OTHER,4 MONTHS,MOUSE
Sonic,OTHER,1 YEAR,GUINEA PIG
Summer,OTHER,1 YEAR,RAT
Rue,OTHER,1 YEAR,RAT
Hatchi,DOG,9 MONTHS,LABRADOR RETR / MIX
Remy,DOG,1 YEAR 5 MONTHS,MASTIFF / AMER BULLDOG
Dj,OTHER,NO AGE,TURTLE / REDEARED SLIDER
Mr. Pickles,DOG,7 YEARS,SIBERIAN HUSKY
Huncho,DOG,1 YEAR 5 MONTHS,AM PIT BULL TER
Juliet,DOG,1 YEAR 11 MONTHS,AM PIT BULL TER
*Cashmere,DOG,3 YEARS,FEIST / MIX
Stella,OTHER,1 YEAR,RAT
Dramaticz,DOG,1 YEAR 5 MONTHS,AM PIT BULL TER
Phil,CAT,12 YEARS,DOMESTIC SH
Nila,CAT,3 YEARS,DOMESTIC SH
Mussa,DOG,4 YEARS,BELG MALINOIS
Sassy,DOG,1 YEAR 5 MONTHS,AM PIT BULL TER
*Zara,DOG,3 YEARS,BOXER / MIX
Joker,CAT,2 YEARS,DOMESTIC SH
*Pepper Jack,CAT,10 WEEKS,DOMESTIC SH
*Parmesan,CAT,10 WEEKS,DOMESTIC SH
*Gorgonzola,CAT,10 WEEKS,DOMESTIC SH
*Chelsa,CAT,2 YEARS,DOMESTIC SH
Taz,DOG,6 YEARS,AM PIT BULL TER
T-Rex,DOG,8 YEARS,AM PIT BULL TER / LABRADOR RETR
Missy,DOG,1 YEAR 10 MONTHS,AM PIT BULL TER
Donnie,CAT,11 YEARS,DOMESTIC SH
Twink,CAT,11 YEARS,DOMESTIC SH
*Damyan,CAT,2 YEARS,DOMESTIC SH
*Pierre,CAT,1 YEAR,DOMESTIC SH
*Mischa,CAT,2 YEARS,DOMESTIC SH
*Man-Ram,DOG,2 YEARS,AM PIT BULL TER
*Rigamarole,CAT,2 YEARS,DOMESTIC SH
Dover,CAT,11 YEARS,DOMESTIC SH
Nala,DOG,3 YEARS,AM PIT BULL TER
*Peach,DOG,3 YEARS,PLOTT HOUND / MIX
*Bullet,DOG,1 YEAR 2 MONTHS,AKITA / MIX
*Chanel,DOG,3 YEARS,AM PIT BULL TER
